"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 19:09:05 IST 2022","Mon Mar 07 19:09:12 IST 2022","7737","Pytest1","pytest_withallure","Testpyk","","","test_first",""
"skipped","Mon Mar 07 19:09:12 IST 2022","Mon Mar 07 19:09:12 IST 2022","1","Pytest1","pytest_withallure","Testpyk","","","test_second",""
